leadid,subject,firstname,lastname,jobtitle,companyname,emailaddress1,telephone1,leadsourcecode,revenue,leadqualitycode,cr487_organizationtype,createdon,modifiedon,industrycode,numberofemployees,action_sequence,activities,last_action_date,statuscode,days_in_pipeline,days_since_last_action
LEAD-0001,Lead from GlobalTrade,John,Rodriguez,Marketing Manager,InnovateLabs,tom.brown@company.com,+1-555-8359,10,258369,1,profit,10/11/2025 10:09,10/22/2025 19:09,9,10,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,60,49
LEAD-0002,Lead from HealthInc,Alex,Jones,Business Development Manager,ConsultGroup,rachel.brown@company.com,+1-555-2139,1,421571,1,nonprofit,11/10/2025 10:09,11/29/2025 17:09,8,250,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,30,11
LEAD-0003,Lead from ManuFact,Alex,Brown,IT Director,TechCorp,sarah.smith@company.com,+1-555-6168,7,322049,1,profit,11/15/2025 10:09,12/03/2025 17:09,9,25,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,25,7
LEAD-0004,Lead from InnovateLabs,Emma,Johnson,CEO,HealthInc,mike.williams@company.com,+1-555-7916,10,497365,2,nonprofit,11/07/2025 10:09,12/14/2025 13:09,3,1000,"['pricing_details_request_inbound_email','send_pricing_details_email','send_followup_email','query_inbound_email','send_query_response_email','demo_request_inbound_email','demo_and_configuration_call','send_invoice_email','send_billable_raised_email']","[{'type':'pricing_details_request_inbound_email','timestamp':datetime.datetime(2025,10,9,21,53,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,13,14,48,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,10,15,9,1,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,24,1,35,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,24,2,47,0)},{'type':'demo_request_inbound_email','timestamp':datetime.datetime(2025,10,25,1,6,0)},{'type':'demo_and_configuration_call','timestamp':datetime.datetime(2025,10,29,17,30,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,10,31,5,46,0)},{'type':'send_billable_raised_email','timestamp':datetime.datetime(2025,11,6,11,11,0)}]",11/6/2025 23:11,1,33,-4
LEAD-0005,Lead from HealthInc,David,Rodriguez,Business Development Manager,RetailHub,mike.garcia@company.com,+1-555-3646,9,445392,2,profit,10/27/2025 10:09,12/07/2025 19:09,17,10,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,44,3
LEAD-0006,Lead from InnovateLabs,Mike,Jones,VP Marketing,GlobalTrade,tom.brown@company.com,+1-555-9835,4,369951,1,nonprofit,10/13/2025 10:09,10/31/2025 18:09,10,1000,"['license_activation_request_inbound_email','send_pricing_and_order_form_email','send_followup_email','still_reviewing_inbound_email','send_acknowledgement_email','use_case_and_query_inbound_email','send_query_answer_email','signed_order_form_inbound_email','send_acknowledgement_and_invoice_email']","[{'type':'license_activation_request_inbound_email','timestamp':datetime.datetime(2025,11,17,16,18,0)},{'type':'send_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,18,10,54,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,19,13,59,0)},{'type':'still_reviewing_inbound_email','timestamp':datetime.datetime(2025,11,20,19,13,0)},{'type':'send_acknowledgement_email','timestamp':datetime.datetime(2025,11,21,1,9,0)},{'type':'use_case_and_query_inbound_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'send_query_answer_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,28,15,33,0)},{'type':'send_acknowledgement_and_invoice_email','timestamp':datetime.datetime(2025,11,28,16,7,0)}]",11/28/2025 16:07,1,58,40
LEAD-0007,Lead from ConsultGroup,Jane,Rodriguez,Marketing Manager,ManuFact,emma.brown@company.com,+1-555-9834,3,429690,2,profit,10/28/2025 10:09,11/20/2025 11:09,19,10000,"['license_activation_request_inbound_email','send_pricing_and_order_form_email','send_followup_email','still_reviewing_inbound_email','send_acknowledgement_email','use_case_and_query_inbound_email','send_query_answer_email','signed_order_form_inbound_email','send_acknowledgement_and_invoice_email']","[{'type':'license_activation_request_inbound_email','timestamp':datetime.datetime(2025,11,17,16,18,0)},{'type':'send_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,18,10,54,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,19,13,59,0)},{'type':'still_reviewing_inbound_email','timestamp':datetime.datetime(2025,11,20,19,13,0)},{'type':'send_acknowledgement_email','timestamp':datetime.datetime(2025,11,21,1,9,0)},{'type':'use_case_and_query_inbound_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'send_query_answer_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,28,15,33,0)},{'type':'send_acknowledgement_and_invoice_email','timestamp':datetime.datetime(2025,11,28,16,7,0)}]",11/28/2025 16:07,1,43,20
LEAD-0008,Lead from ConsultGroup,Jane,Brown,Marketing Manager,RetailHub,alex.davis@company.com,+1-555-3296,7,327400,1,nonprofit,10/21/2025 10:09,11/10/2025 17:09,6,250,"['pricing_details_request_inbound_email','send_pricing_details_email','send_followup_email','query_inbound_email','send_query_response_email','demo_request_inbound_email','demo_and_configuration_call','send_invoice_email','send_billable_raised_email']","[{'type':'pricing_details_request_inbound_email','timestamp':datetime.datetime(2025,10,9,21,53,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,13,14,48,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,10,15,9,1,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,24,1,35,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,24,2,47,0)},{'type':'demo_request_inbound_email','timestamp':datetime.datetime(2025,10,25,1,6,0)},{'type':'demo_and_configuration_call','timestamp':datetime.datetime(2025,10,29,17,30,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,10,31,5,46,0)},{'type':'send_billable_raised_email','timestamp':datetime.datetime(2025,11,6,11,11,0)}]",11/6/2025 23:11,1,50,30
LEAD-0009,Lead from FinancePlus,Tom,Smith,Director of Operations,ManuFact,emma.jones@company.com,+1-555-7930,9,330970,1,profit,10/22/2025 10:09,11/07/2025 11:09,16,50,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,49,33
LEAD-0010,Lead from HealthInc,Sarah,Miller,CTO,GlobalTrade,sarah.martinez@company.com,+1-555-1651,10,355560,1,nonprofit,11/08/2025 10:09,11/22/2025 20:09,3,1000,"['pricing_request_inbound_email','send_pricing_and_introduction_call_email','query_inbound_email','send_proposed_call_for_query_email','available_timeslots_inbound_email','send_meeting_invite_email','introduction_meeting','send_other_product_details_email','send_order_form_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'pricing_request_inbound_email','timestamp':datetime.datetime(2025,10,16,18,14,0)},{'type':'send_pricing_and_introduction_call_email','timestamp':datetime.datetime(2025,10,20,17,26,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,21,16,32,0)},{'type':'send_proposed_call_for_query_email','timestamp':datetime.datetime(2025,10,22,12,32,0)},{'type':'available_timeslots_inbound_email','timestamp':datetime.datetime(2025,10,22,12,58,0)},{'type':'send_meeting_invite_email','timestamp':datetime.datetime(2025,10,22,15,12,0)},{'type':'introduction_meeting','timestamp':datetime.datetime(2025,10,27,13,30,0)},{'type':'send_other_product_details_email','timestamp':datetime.datetime(2025,10,27,17,24,0)},{'type':'send_order_form_email','timestamp':datetime.datetime(2025,12,4,14,24,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,12,5,17,1,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,12,8,18,14,0)}]",12/8/2025 18:14,1,32,18
